community_area,year,0
1,2019,4053
10,2019,1163
11,2019,970
12,2019,463
13,2019,796
14,2019,2218
15,2019,2900
16,2019,2540
17,2019,1337
18,2019,553
19,2019,4361
2,2019,3474
20,2019,1301
21,2019,2147
22,2019,4891
23,2019,8010
24,2019,7295
25,2019,14764
26,2019,6224
27,2019,4654
28,2019,9363
29,2019,9009
3,2019,3365
30,2019,4446
31,2019,2340
32,2019,10597
33,2019,1869
34,2019,1024
35,2019,2745
36,2019,637
37,2019,906
38,2019,3394
39,2019,1390
4,2019,1804
40,2019,2342
41,2019,1727
42,2019,3562
43,2019,8672
44,2019,6799
45,2019,1303
46,2019,4258
47,2019,375
48,2019,1433
49,2019,6542
5,2019,1275
50,2019,1162
51,2019,1851
52,2019,1003
53,2019,3860
54,2019,1396
55,2019,496
56,2019,1863
57,2019,811
58,2019,2225
59,2019,826
6,2019,5986
60,2019,1451
61,2019,4259
62,2019,902
63,2019,2160
64,2019,938
65,2019,1692
66,2019,5522
67,2019,6624
68,2019,6035
69,2019,6753
7,2019,4316
70,2019,2348
71,2019,7623
72,2019,927
73,2019,3222
74,2019,473
75,2019,1876
76,2019,1688
77,2019,2508
8,2019,12587
9,2019,268
1,2018,3842
10,2018,1182
11,2018,1105
12,2018,496
13,2018,1003
14,2018,2437
15,2018,3228
16,2018,2840
17,2018,1514
18,2018,606
19,2018,4407
2,2018,3547
20,2018,1409
21,2018,2348
22,2018,4960
23,2018,8123
24,2018,7338
25,2018,15180
26,2018,5737
27,2018,4943
28,2018,9466
29,2018,9452
3,2018,3664
30,2018,4575
31,2018,2401
32,2018,10893
33,2018,1886
34,2018,1022
35,2018,2731
36,2018,680
37,2018,836
38,2018,3267
39,2018,1473
4,2018,1944
40,2018,2821
41,2018,1971
42,2018,3505
43,2018,8705
44,2018,6546
45,2018,1168
46,2018,4338
47,2018,388
48,2018,1401
49,2018,6963
5,2018,1340
50,2018,1211
51,2018,1755
52,2018,1109
53,2018,4086
54,2018,1363
55,2018,626
56,2018,2101
57,2018,827
58,2018,2199
59,2018,913
6,2018,5976
60,2018,1525
61,2018,4277
62,2018,1019
63,2018,2076
64,2018,971
65,2018,1785
66,2018,5712
67,2018,7131
68,2018,6255
69,2018,6387
7,2018,5019
70,2018,2422
71,2018,7443
72,2018,929
73,2018,3220
74,2018,574
75,2018,2149
76,2018,1662
77,2018,2791
8,2018,13102
9,2018,254
1,2017,4162
10,2017,1108
11,2017,1064
12,2017,551
13,2017,968
14,2017,2486
15,2017,3379
16,2017,3018
17,2017,1522
18,2017,609
19,2017,4620
2,2017,3603
20,2017,1508
21,2017,2357
22,2017,5085
23,2017,8081
24,2017,8347
25,2017,15454
26,2017,5380
27,2017,4780
28,2017,9075
29,2017,9095
3,2017,3569
30,2017,4559
31,2017,2635
32,2017,10636
33,2017,1952
34,2017,1019
35,2017,2638
36,2017,691
37,2017,880
38,2017,3468
39,2017,1537
4,2017,2010
40,2017,2736
41,2017,1729
42,2017,3859
43,2017,8708
44,2017,6417
45,2017,1288
46,2017,4592
47,2017,374
48,2017,1370
49,2017,6974
5,2017,1429
50,2017,1099
51,2017,1758
52,2017,1219
53,2017,4002
54,2017,1357
55,2017,674
56,2017,1927
57,2017,850
58,2017,2228
59,2017,1052
6,2017,5763
60,2017,1525
61,2017,4659
62,2017,1022
63,2017,2312
64,2017,898
65,2017,1879
66,2017,5761
67,2017,6970
68,2017,5944
69,2017,6497
7,2017,4479
70,2017,2514
71,2017,7546
72,2017,907
73,2017,3098
74,2017,586
75,2017,2122
76,2017,1689
77,2017,2644
8,2017,12334
9,2017,275
1,2016,3674
10,2016,1323
11,2016,1074
12,2016,574
13,2016,974
14,2016,2421
15,2016,3266
16,2016,3002
17,2016,1757
18,2016,673
19,2016,4790
2,2016,3296
20,2016,1563
21,2016,2297
22,2016,5477
23,2016,8038
24,2016,8253
25,2016,16793
26,2016,5793
27,2016,5052
28,2016,9486
29,2016,8827
3,2016,3572
30,2016,4711
31,2016,2633
32,2016,9040
33,2016,1951
34,2016,1012
35,2016,2623
36,2016,702
37,2016,930
38,2016,3318
39,2016,1421
4,2016,1990
40,2016,2713
41,2016,1765
42,2016,3630
43,2016,8220
44,2016,6268
45,2016,1316
46,2016,4802
47,2016,400
48,2016,1420
49,2016,6893
5,2016,1407
50,2016,1213
51,2016,1890
52,2016,1334
53,2016,3897
54,2016,1278
55,2016,586
56,2016,2113
57,2016,881
58,2016,2636
59,2016,1043
6,2016,6090
60,2016,1697
61,2016,4946
62,2016,1100
63,2016,2367
64,2016,970
65,2016,2145
66,2016,5858
67,2016,7012
68,2016,6309
69,2016,6622
7,2016,4249
70,2016,2741
71,2016,7621
72,2016,991
73,2016,3231
74,2016,614
75,2016,2009
76,2016,1807
77,2016,2390
8,2016,10580
9,2016,310
1,2015,3598
10,2015,1280
11,2015,1158
12,2015,451
13,2015,844
14,2015,2541
15,2015,3460
16,2015,3022
17,2015,1661
18,2015,588
19,2015,4849
2,2015,3120
20,2015,1738
21,2015,2263
22,2015,4810
23,2015,8206
24,2015,7091
25,2015,17424
26,2015,6039
27,2015,5466
28,2015,7961
29,2015,8440
3,2015,3668
30,2015,4464
31,2015,2534
32,2015,7601
33,2015,1885
34,2015,1085
35,2015,2530
36,2015,636
37,2015,844
38,2015,3160
39,2015,1380
4,2015,1771
40,2015,2776
41,2015,1521
42,2015,3760
43,2015,9123
44,2015,6061
45,2015,1393
46,2015,5095
47,2015,389
48,2015,1488
49,2015,6656
5,2015,1395
50,2015,1049
51,2015,1928
52,2015,1322
53,2015,4025
54,2015,1190
55,2015,516
56,2015,1859
57,2015,1002
58,2015,2764
59,2015,1084
6,2015,5594
60,2015,1619
61,2015,5011
62,2015,1037
63,2015,2372
64,2015,942
65,2015,2058
66,2015,6233
67,2015,7550
68,2015,7261
69,2015,6790
7,2015,3765
70,2015,2322
71,2015,7864
72,2015,992
73,2015,3180
74,2015,620
75,2015,2091
76,2015,1752
77,2015,2266
8,2015,9088
9,2015,258
1,2014,3808
10,2014,1255
11,2014,1233
12,2014,462
13,2014,873
14,2014,2405
15,2014,3395
16,2014,2855
17,2014,1572
18,2014,526
19,2014,4980
2,2014,3417
20,2014,1794
21,2014,2373
22,2014,5108
23,2014,9236
24,2014,7351
25,2014,18809
26,2014,6229
27,2014,5822
28,2014,7908
29,2014,8728
3,2014,3821
30,2014,4783
31,2014,2715
32,2014,7295
33,2014,1783
34,2014,1225
35,2014,2574
36,2014,647
37,2014,933
38,2014,3513
39,2014,1504
4,2014,1900
40,2014,2948
41,2014,1423
42,2014,4199
43,2014,9298
44,2014,6280
45,2014,1503
46,2014,5252
47,2014,403
48,2014,1592
49,2014,7399
5,2014,1543
50,2014,1222
51,2014,2257
52,2014,1391
53,2014,4381
54,2014,1387
55,2014,627
56,2014,1933
57,2014,1057
58,2014,2918
59,2014,1058
6,2014,5707
60,2014,1803
61,2014,5280
62,2014,1016
63,2014,2633
64,2014,1003
65,2014,2110
66,2014,6498
67,2014,7619
68,2014,7124
69,2014,6767
7,2014,4092
70,2014,2576
71,2014,8009
72,2014,906
73,2014,3209
74,2014,672
75,2014,2155
76,2014,2017
77,2014,2332
8,2014,9001
9,2014,244
